0,1043,13896,122870,154935,79429,89624,31638,46108,148926,50701,140641,29693,175423,50117,52837,166269,93536,41615,73353,173330,86554,148661,71959,23619,145948,118995,93821,163315,141657,95612,72813,73498,165291,166262,24626,176241,124009,176393,142354,158391,106731,108911,21047,40231,156939,169789,75277,146009,94683,26960,56181,96797,3732,114621,17149,52865,49487,183280,125683,153175,44779,13902,150071,13737,175368,103740,74508,32820,124065,96452,19088,114486,4478,64870,136352,83806,80846,64115,149442,127959,42252,172576,90413,38562,15907,97001,160469,25540,113475,152587,165173,39367,165458,71556,114405,32856,121505,111125,133558,151679,99866,38304,78688,155148,5218,57485,98858,149926,98682,158362,13699,34516,121094,34703,168567,171008,148950,26179,96347,84836,5061,122268,21694,125859,14576,106570,174674,89779,89601,95441,3072,20724,3697,43030,34601,112684,82287,183722,98201,49432,68072,9085,14375,9801,129653,38047,25260,78511,46592,25491,148698,138921,104972,93205,36980,19165,29941,73211,144500,147281,126760,108729,140022,35072,147664,7038,128060,105318,59197,122408,62226,162388,176481,28351,148415,179898,87829,2201,119661,46958,119883,75073,129252,165110
1,55099,14907,26126,88031,143732,97900,141251,175604,96551,5858,148158,10839,135712,76394,80569,152889,171228,177353,109471,76546,259,112616,75994,144395,28299,119233,14274,57506,42805,142946,137986,141866,2080,33617,54240,77549,146348,176558,154509,20848,103069,120915,81244,102652,56512,31252,179784,18001,87699,182506,178633,44444,86269,128174,176142,71400,125393,25717,89286,154028,159020,70966,133821,64495,108165,91415,108037,195,148409,9092,95905,36855,68486,68433,106897,71129,113512,98072,160047,61977,170132,87200,3887,166384,130816,28594,141184,162371,47188,74310,164536,4593,59871,51849,94041,20776,45913,133254,132589,171568,100117,36499,38530,171131,7729,161525,17817,154436,45266,892,57734,137421,137668,15812,34453,140449,165493,11811,93897,146531,39778,9133,8609,7148,46551,22183,89728,107165,107878,118196,174909,85668,78678,62772,84811,110849,91504,124506,31250,6901,56641,61715,35026,149597,100993,113507,106327,132550,94238,109646,125009,66377,38684,18968,30064,143249,97263,19954,132361,72851,116694,84057,139484,138500,70191,22472,2692,74898,24349,182677,123635,7206,112115,101046,65665,44326,3382,137689,49101,119092,85033,52405,71020,123932
2,144358,114870,19258,144274,87984,69297,14615,55006,102238,11892,111639,76156,63516,120852,37641,49548,36171,120909,23580,52408,81381,177864,42993,69082,115243,93329,157115,154423,57985,109339,44841,81071,34580,113693,56704,128924,101056,15161,162451,56482,15311,80196,44469,17133,151408,172680,66796,36807,71036,135127,95650,27270,129406,40628,16228,43958,182655,95200,170776,59403,83914,8473,81374,91948,23295,53070,121197,177334,82129,172669,100709,15635,118413,89511,78871,149900,11961,29954,135175,129867,53339,134221,29783,149253,28422,45312,6818,171118,146137,109327,146947,145529,40275,162081,105818,110910,108324,113905,110975,165523,119804,103028,162501,70387,46218,164918,112931,166700,59570,168860,14030,66059,50790,142263,13521,82083,45239,2319,135119,76218,17162,42316,145998,36280,24145,53268,104697,149368,137111,106875,148476,109399,54758,145704,182206,93496,88811,1506,120298,181560,181545,100948,34415,128113,139264,123913,168445,55064,100396,62686,141149,122884,152158,144610,97708,150750,8335,28326,78952,62745,5085,130742,94334,15065,20477,129411,29536,29596,24480,127106,4597,143978,60289,111186,45866,38203,171782,154637,114849,165880,96743,15358,81966,130025
3,112783,6956,153187,60592,51058,123904,30663,153294,54052,142372,73520,175987,101005,78518,146877,32153,73455,107813,59182,149081,40936,28061,120147,37071,8171,162828,90887,167343,80063,99172,96517,154449,74257,103969,153356,176841,67192,116635,140153,30054,65247,119584,94940,142179,100899,125953,36721,63408,37081,24253,99663,137092,31880,121133,130762,144221,74,105938,176721,119680,57191,73423,165825,63046,13196,12025,135330,63110,63657,17643,93473,26078,138970,118346,35303,146586,112503,145055,172709,161351,82952,80935,69157,175553,167971,66234,36763,2372,47484,137708,84390,48771,115236,47723,22419,24316,113476,22804,125910,73091,173866,110770,34634,17082,62431,32274,125208,6010,59076,138213,49240,154774,182107,127400,76643,171323,95673,84520,21491,15091,141281,171838,103782,152182,65243,119038,84556,165350,155552,133344,121882,62657,78080,161098,60997,173748,126731,100403,10447,17210,86546,147197,10866,75595,72264,41964,105634,101919,49778,101158,64856,114640,126538,130814,103076,23216,123584,175972,49331,181883,20138,148191,424,14443,94577,93895,40927,41856,105304,72761,65040,130945,41514,170259,118738,121755,15754,98296,171969,86962,118552,99832,4862,68815
4,7405,148762,178441,116055,172524,99148,129369,79209,31796,146435,91957,87942,154589,8440,13253,136912,150418,99519,170798,84721,4367,45448,167784,36395,179777,30141,40973,107855,172547,80273,171203,87558,131169,38010,107861,63573,31298,7336,8094,130593,7909,160006,99788,1449,172232,58968,96417,91536,153204,115417,78050,1434,177449,172079,117389,166150,114117,100299,141837,58618,52457,130431,54985,44111,73610,24142,11112,80625,59906,48261,89165,35652,14731,15042,69179,4118,42289,76328,62715,100260,113333,127087,80459,29017,70025,25606,37229,126248,63425,135749,117776,90183,159757,88880,55758,14946,69753,9844,81443,165975,123988,12888,180695,13054,58405,98272,131190,97344,155190,80878,131285,129922,119696,129190,93003,166722,132885,89830,26150,149657,106330,49016,52524,14706,82147,91590,178696,29297,124597,115503,50737,124508,142004,137885,152899,94870,116168,101498,65843,112976,50917,59743,29021,48899,133898,93313,98438,143475,87328,60462,153036,91641,100223,129646,25736,179080,91403,162853,120431,181468,17562,160863,85504,140250,158390,29616,102120,84399,146773,93085,53320,54169,137268,19249,157896,1424,137057,121050,98414,56970,108516,116437,154514,59924
5,92171,108820,32869,22249,115282,147731,62730,32734,166052,106052,169207,96525,72615,22070,82672,177416,57179,3648,42938,27622,37632,28682,106293,7311,100943,134748,126053,116581,11465,180951,121049,31398,86344,11713,39252,150271,87446,62411,74215,46709,93345,181742,61234,161171,153578,142812,96453,89831,157546,97246,126758,169072,36654,122637,18429,80599,91351,139720,48094,109397,16855,61524,41040,27409,61479,34677,49453,104858,103326,97297,156343,152650,40969,131741,126615,4651,61651,125015,83050,99793,136523,182636,145559,314,102005,90911,23032,142505,18982,78835,84052,5891,160030,6347,40173,50654,167020,34243,128901,50930,31366,92027,75347,169749,91433,154014,43494,140272,61931,107181,132960,38769,52460,78541,126713,63635,174107,65015,16295,11929,171547,122517,170342,34901,26096,180427,66441,41067,67555,31429,171595,97583,89723,160298,121390,100605,178039,6917,150051,63065,171237,36778,55812,90299,183540,175483,159898,48401,125925,74897,16231,32552,94907,4172,60702,183183,147809,130754,112854,183007,157111,174843,98526,131984,15797,22729,122086,134179,87275,100371,117859,4062,30277,24892,69321,117720,9259,150833,50471,72186,110812,182592,31775,50611
6,88725,44971,81523,77467,172089,56294,78800,107055,98673,93894,156961,16489,102756,109162,36538,97750,147275,135425,84423,160871,10007,82714,93796,136314,57607,53794,51,157860,30041,167434,29032,4406,149,54552,95273,113235,14812,137477,46943,54042,114099,148238,128407,73299,118491,182216,148261,51966,174888,105103,31967,54200,55523,24642,58820,178414,72600,17928,6499,28432,157867,31617,89166,102188,111439,53203,62284,144283,110207,137556,72760,94598,157771,165728,45706,120597,17835,57352,85153,182959,93172,149625,122104,44347,121124,118791,10756,29212,118779,94552,143843,52474,79093,68599,44950,162499,59578,56940,81077,20957,94277,126050,49091,140761,9107,146422,22197,104457,85695,167370,107704,144719,54906,173123,160674,47482,156024,137093,165448,38168,52649,49403,170673,177696,125553,23231,121786,4529,138096,159275,139346,89893,87867,77310,69421,110863,111833,124834,59625,83091,86187,91741,131941,26253,35944,160254,89616,172579,16971,31615,12929,143337,19321,52779,178709,54247,162599,138783,95294,86721,21080,36051,71240,80014,107072,98202,71432,140849,4473,159881,36055,36354,52635,70114,12849,142781,135632,164068,112915,27148,114086,135402,21198,81698
7,27599,89887,152203,156463,170464,68547,138417,83237,84454,100897,96862,26029,119510,112363,4716,50530,79168,18184,141395,51636,167622,68737,172349,18434,109229,30104,106933,118712,105178,5508,44185,70533,14353,162049,83581,73325,181225,90498,15265,31724,61115,166639,28178,171988,135209,124699,153797,160335,26258,76364,180665,173316,172550,94489,157126,78769,67855,36437,123755,70157,97201,100669,45665,58513,110501,161952,129052,115769,170432,138277,7783,90727,21478,127295,96006,164482,80820,94994,88920,150624,140327,160579,112918,65072,153055,14241,83249,146122,32132,138356,71121,19828,136191,148436,162826,183283,42170,60939,160290,129582,139111,159745,140626,120156,168685,169561,127330,81108,107823,77576,150872,60040,126809,153879,33464,45419,146725,130100,64971,32004,81438,118167,165143,11243,80053,47750,75546,130437,32307,116856,150474,117428,28919,159610,29249,93071,9481,131551,54953,43842,27072,31002,46118,43315,37948,148991,39994,152564,179272,64969,83015,41674,160622,1843,144880,67842,182565,45301,66491,48471,177216,54750,131440,176869,1223,164903,98518,11868,2794,148294,123407,122026,108077,138328,92215,96993,114411,103048,152736,176390,43022,103998,65872,70767
8,85132,42244,28488,81983,130033,37371,23094,61101,149156,133638,85602,109644,101288,88280,117087,69071,101030,72699,132364,164159,146331,4896,35511,101176,92038,55352,99210,90403,41647,177862,108688,121174,22363,116069,87982,34787,53942,34291,101298,126880,91019,46223,32550,90324,170239,52350,24839,50685,157095,172876,169732,80656,133475,20508,163136,71445,35732,14472,17932,41233,151352,39342,103414,141404,135085,68364,151573,43724,101711,124680,91216,3369,88406,50498,152149,30042,128173,68319,180603,134455,17701,19590,78847,33519,90644,38560,91551,5848,2866,173939,173735,41894,100187,105410,35873,87350,160473,118099,69742,125032,141876,6765,59927,176728,132606,51263,50243,163870,133989,107743,94797,76933,82311,182034,29757,4018,68517,19580,75454,136533,97279,102671,3582,37671,9393,75020,40998,100160,183923,29641,6025,54264,119156,155066,50973,20206,113164,168851,107853,84174,173772,111026,13478,49057,23458,142259,173618,182087,44413,34618,116005,126333,19314,1636,164828,74233,138323,48171,113154,23766,63935,109136,173103,59083,107062,167420,5311,22480,1378,33029,55925,39538,121943,170074,94775,155800,14842,134778,80982,155544,95747,170150,34007,92293
9,1681,150347,69043,137064,30462,15948,88901,155673,67669,159807,40170,133493,175881,93695,107800,109132,144897,54268,32306,153690,3612,35346,83783,80980,141601,8696,153881,1523,76780,118750,130000,35451,55954,108840,6854,1827,82478,178595,43279,169432,173961,122838,41364,60650,31407,88945,176096,18218,15677,76556,110705,112429,14792,20670,138549,51373,178628,142728,123217,127285,46974,33148,67871,147600,166364,76484,74802,169575,11414,105176,72541,18032,101077,147003,131642,51231,145814,61587,44747,154284,27064,43208,174993,36771,46343,95690,128950,21480,27621,97747,73692,107919,86651,932,99341,102071,141084,34957,21125,46677,177704,116536,163477,14003,15340,168948,168982,71341,48751,134156,44509,6949,90248,139985,115402,164636,158047,22088,84294,133451,40265,112821,14547,37090,142927,11432,42635,102115,173626,21688,38604,50852,86576,91218,39766,57727,66641,114828,157731,154897,33275,36089,175472,156955,145041,65622,98570,86900,17373,65790,15519,4140,33721,130242,82713,143764,60282,45146,22898,156692,137225,51246,27991,93994,168662,169708,32783,45810,110276,176582,14655,174968,71273,130686,92850,55476,121694,10189,146686,122799,14337,88292,104106,144636
